reject_rate,error_rate,lim_attack,lim_normal,dominated
0.1423320694397978,0.0586709078073079,0.56,1.0,False
0.1423181294375674,0.0586748904027245,0.54,1.0,False
0.1422856027656964,0.058682356422994,0.52,1.0,False
0.1422670160960559,0.0586913191853647,0.5,1.0,False
0.0782452325192372,0.1018127300318086,0.56,0.98,False
0.0782312925170068,0.1018156854348296,0.54,0.98,False
0.0781987658451358,0.1018206910590743,0.52,0.98,False
0.0781801791754953,0.101828411931769,0.5,0.98,False
0.0777573324411732,0.1020760152368452,0.56,0.96,False
0.0777433924389428,0.1020789643387287,0.54,0.96,False
0.0777108657670718,0.1020839551636766,0.52,0.96,False
0.0776922790974313,0.1020916678307572,0.5,0.96,False
0.0737054384595368,0.1034742554934227,0.56,0.94,False
0.0736914984573064,0.10347715694923,0.54,0.94,False
0.0736589717854354,0.103482040532722,0.52,0.94,False
0.0736403851157949,0.1034896818273222,0.5,0.94,False
0.0732175383814728,0.1038796774741078,0.56,0.92,False
0.0732035983792424,0.1038825719603235,0.54,0.92,False
0.0731710717073714,0.103887438322773,0.52,0.92,False
0.0731524850377309,0.1038950722445133,0.5,0.92,False
0.0691563510650161,0.1052910904063459,0.56,0.9,False
0.0691424110627857,0.10529393775213,0.54,0.9,False
0.0691098843909148,0.1052986979286456,0.52,0.9,False
0.0690912977212743,0.1053062614002679,0.5,0.9,False
0.0652670904427344,0.1082306963260978,0.56,0.88,False
0.065253150440504,0.1082334911857713,0.54,0.88,False
0.0652206237686331,0.1082381229951134,0.52,0.88,False
0.0652020370989926,0.1082456283039141,0.5,0.88,False
0.0565545890487342,0.1126286702861435,0.56,0.86,False
0.0565406490465038,0.1126313614259665,0.54,0.86,False
0.0565081223746329,0.1126357510075808,0.52,0.86,False
0.0564895357049923,0.1126431184939076,0.5,0.86,False
0.0528837217947288,0.1152247146137885,0.56,0.84,False
0.0528697817924984,0.1152273601712124,0.54,0.84,False
0.0528372551206274,0.1152316388575868,0.52,0.84,False
0.0528186684509869,0.1152389546560893,0.5,0.84,False
0.0407930931935615,0.1173329814901679,0.56,0.82,False
0.0407791531913311,0.1173355060256289,0.54,0.82,False
0.0407466265194602,0.1173395250486296,0.52,0.82,False
0.0407280398498197,0.1173466340964846,0.5,0.82,False
0.0405096464815434,0.1175533811960545,0.56,0.8,False
0.040495706479313,0.1175559022692441,0.54,0.8,False
0.0404631798074421,0.1175599127419692,0.52,0.8,False
0.0404445931378015,0.1175670181178769,0.5,0.8,False
0.0404074197985205,0.1176197831255994,0.56,0.78,False
0.0403934797962901,0.1176223030031816,0.54,0.78,False
0.0403609531244191,0.1176263105920264,0.52,0.78,False
0.0403423664547786,0.1176334145624656,0.5,0.78,False
0.0403377197873685,0.1176707847824878,0.56,0.76,False
0.0403237797851381,0.1176733038229075,0.54,0.76,False
0.0402912531132671,0.1176773093609387,0.52,0.76,False
0.0402726664436266,0.1176844124103087,0.5,0.76,False
0.0402494331065759,0.1176964969490903,0.52,0.74,False
0.0402308464369354,0.1177035993730049,0.5,0.74,False
0.0283679045388647,0.1267185861245169,0.56,0.72,False
0.0283539645366343,0.1267209667526247,0.54,0.72,False
0.0283214378647633,0.1267246308851441,0.52,0.72,False
0.0283028511951228,0.1267315863147306,0.5,0.72,False
0.0242881305527675,0.1296352003330327,0.56,0.7,False
0.0242741905505371,0.1296375371106151,0.54,0.7,False
0.0242416638786662,0.1296410935854688,0.52,0.7,False
0.0242230772090256,0.1296480012401506,0.5,0.7,False
0.0242044905393851,0.1296673928891168,0.56,0.68,False
0.0241905505371547,0.1296697288410968,0.54,0.68,False
0.0241580238652838,0.1296732834399233,0.52,0.68,False
0.0241394371956432,0.1296801898933522,0.5,0.68,False
0.0241208505260027,0.129691425024858,0.52,0.66,False
0.0241022638563622,0.1296983309780271,0.5,0.66,False
0.0041215939927883,0.1411307793917321,0.56,0.64,False
0.0041076539905579,0.1411329204557701,0.54,0.64,False
0.004075127318687,0.1411360104647637,0.52,0.64,False
0.0040565406490465,0.1411426768292305,0.5,0.64,False
0.0040565406490465,0.1411495852290381,0.54,0.62,False
0.0040240139771755,0.1411526742103677,0.52,0.62,False
0.004005427307535,0.1411593398691557,0.5,0.62,False
0.0039961339727147,0.1411735882543013,0.52,0.6,False
0.0039775473030742,0.141180253655611,0.5,0.6,False
0.0039775473030742,0.1411803036268271,0.52,0.58,False
0.0039589606334337,0.1411869687786528,0.5,0.58,False
0.0039589606334337,0.1411942444966982,0.52,0.56,False
0.0039403739637931,0.1412009094769284,0.5,0.56,False
0.0039217872941526,0.1412185107852943,0.52,0.54,False
0.0039032006245121,0.1412251753834753,0.5,0.54,False
0.0038985539571019,0.141228708944436,0.52,0.52,False
0.0038799672874614,0.1412353732503189,0.5,0.52,False
0.0038799672874614,0.1412354222542827,0.52,0.5,False
0.0038613806178208,0.141242086310761,0.5,0.5,False
