reject_rate,error_rate,lim_attack,lim_normal,dominated
0.1714248540946433,0.0537729147757428,0.82,1.0,False
0.1697985205010966,0.0538060534126214,0.8,1.0,False
0.162814579383666,0.053913779150893,0.78,1.0,False
0.1625311326716479,0.0539215825641692,0.76,1.0,False
0.1616854392030036,0.0539842158331127,0.74,1.0,False
0.1611835991227092,0.0540125921635354,0.72,1.0,False
0.1604494256719081,0.0540325624745268,0.7,1.0,False
0.1588184454109512,0.0543576486721846,0.68,1.0,False
0.1497853239656518,0.054761654775527,0.66,1.0,False
0.1364633285007992,0.0548971176075962,0.62,1.0,False
0.1357198617151779,0.0549384872986848,0.6,1.0,False
0.132416081186573,0.0551224444848537,0.58,1.0,False
0.1230437530203338,0.0561876412906248,0.52,1.0,False
0.12186814616557,0.0562237775323717,0.5,1.0,False
0.1159250585480093,0.0621717149921503,0.62,0.98,False
0.115181591762388,0.0621992070104297,0.6,0.98,False
0.1118778112337831,0.0623219151487932,0.58,0.98,False
0.1086158507118694,0.0630174785993007,0.58,0.96,False
0.1025054830675439,0.0632108071687942,0.52,0.98,False
0.1013298762127802,0.0632262950885134,0.5,0.98,False
0.0992435225456302,0.0638847629537427,0.52,0.96,False
0.0980679156908665,0.0638978942178099,0.5,0.96,False
0.0975614289431619,0.0651532651981509,0.52,0.94,False
0.0963858220883982,0.0651634500483883,0.5,0.94,False
0.0951358685550723,0.0666552271521143,0.52,0.92,False
0.0939602617003085,0.0666618084198109,0.5,0.92,False
0.0928311215196461,0.0733574923200297,0.58,0.9,False
0.0822831864986431,0.0740281384264694,0.5,0.9,False
0.0755780454258206,0.0762281126440948,0.5,0.88,False
0.0663404706144753,0.0846225909073907,0.5,0.86,False
0.0645747369986246,0.0855800367917837,0.5,0.84,False
0.0622095832868666,0.0865306650934338,0.5,0.82,False
0.0621352366083045,0.0865602869298805,0.5,0.8,False
0.0617123898739823,0.0868214505092907,0.5,0.78,False
0.0596353295416527,0.0953076865875864,0.58,0.76,False
0.0490873945206497,0.095575098421094,0.5,0.76,False
0.0448728671796587,0.098545934917399,0.5,0.74,False
0.0405421731534143,0.1022244232546898,0.5,0.72,False
0.0400821530798111,0.1025634454950985,0.5,0.7,False
0.0382095461135273,0.1040358380028476,0.5,0.68,False
0.0252685773763057,0.1135093050646803,0.5,0.66,False
0.0227593769748336,0.1141328073481883,0.5,0.64,False
0.0167605293483513,0.1179293003809704,0.5,0.62,False
0.013893535556299,0.1199008887295312,0.5,0.6,False
0.0110079550946061,0.1217316174632963,0.5,0.58,False
0.0095303148581837,0.122726509257901,0.5,0.56,False
0.0085173413627746,0.1234426150571133,0.5,0.54,False
0.0075415412066465,0.1240727383012274,0.5,0.52,False
0.001082673506561,0.1279719120199364,0.5,0.5,False
