fp,fn,tp,tn,fpr,fnr,recall,precision,accuracy,month,year,day
200,493,3984,4277,0.11011838284565557,0.04467277194549922,0.8898816171543444,0.9521988527724665,0.9226,01,2014,0
237,624,6091,6478,0.09292628443782576,0.03529411764705882,0.9070737155621742,0.9625474083438685,0.9359,01,2014,1
141,87,2696,2642,0.03126122888968739,0.05066475026949335,0.9687387711103126,0.9502996122664786,0.959,01,2014,2
2085,12860,25672,36447,0.3337485726149694,0.05411086888819682,0.6662514273850306,0.9248838130921929,0.8061,01,2014,3
101,100,2625,2624,0.03669724770642202,0.03706422018348624,0.963302752293578,0.9629493763756419,0.9631,01,2014,4
227,57,5681,5511,0.009933774834437087,0.03956082258626699,0.9900662251655629,0.9615775220040623,0.9753,01,2014,5
105,26,2334,2255,0.011016949152542373,0.04449152542372881,0.9889830508474576,0.956949569495695,0.9722,01,2014,6
