fp,fn,tp,tn,fpr,fnr,recall,precision,accuracy,month,year,day
332,228,5640,5536,0.03885480572597137,0.05657805044308112,0.9611451942740287,0.9444072337575352,0.9523,07,2014,0
96,34,3054,2992,0.011010362694300517,0.031088082901554404,0.9889896373056994,0.9695238095238096,0.979,07,2014,1
100,352,4793,5045,0.0684159378036929,0.019436345966958212,0.9315840621963071,0.9795626405068465,0.9561,07,2014,2
284,371,9116,9203,0.03910614525139665,0.029935701486244335,0.9608938547486033,0.9697872340425532,0.9655,07,2014,3
186,132,5681,5627,0.022707724066746947,0.03199724754859797,0.9772922759332531,0.9682972558377365,0.9726,07,2014,4
434,59,11102,10727,0.005286264671624406,0.03888540453364394,0.9947137353283756,0.962378640776699,0.9779,07,2014,5
119,8,3803,3692,0.0020991865652059826,0.031225400157438993,0.997900813434794,0.9696583375828659,0.9833,07,2014,6
