fp,fn,tp,tn,fpr,fnr,recall,precision,accuracy,month,year,day
159,46,3408,3295,0.013317892298784018,0.04603358425014476,0.986682107701216,0.9554247266610597,0.9703,06,2014,0
1366,70,28357,27061,0.002462447672986949,0.04805290744714532,0.997537552327013,0.9540423241260977,0.9747,06,2014,1
1005,42,12256,11293,0.0034151894617010896,0.08172060497641893,0.996584810538299,0.9242138601915391,0.9574,06,2014,2
182,31,4797,4646,0.006420878210439105,0.037696768848384424,0.9935791217895609,0.9634464751958225,0.9779,06,2014,3
159,46,3408,3295,0.013317892298784018,0.04603358425014476,0.986682107701216,0.9554247266610597,0.9703,06,2014,4
2564,2120,34067,33623,0.05858457457097853,0.07085417415093818,0.9414154254290215,0.9300046408779449,0.9353,06,2014,5
159,46,3408,3295,0.013317892298784018,0.04603358425014476,0.986682107701216,0.9554247266610597,0.9703,06,2014,6
