corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
5269,6316,92,955,0.30240658644711843,0.029132362254591513,2203,3066,0.6975934135528816,0.9599128540305011,0.83423,03,2014,0
4705,5116,72,339,0.1325254104769351,0.028146989835809225,2219,2486,0.8674745895230649,0.9685726756874727,0.91966,03,2014,1
2061,2112,21,30,0.028409090909090908,0.019886363636363636,1026,1035,0.9715909090909091,0.9799426934097422,0.97585,03,2014,2
5037,6016,69,910,0.3025265957446808,0.022938829787234043,2098,2939,0.6974734042553191,0.968158744808491,0.83727,03,2014,3
6838,7390,115,437,0.1182679296346414,0.03112313937753721,3258,3580,0.8817320703653586,0.9659057219092796,0.9253,03,2014,4
6595,6844,108,141,0.04120397428404442,0.031560490940970194,3281,3314,0.9587960257159556,0.9681321923871349,0.96362,03,2014,5
2911,3646,49,686,0.37630279758639607,0.026878771256171146,1137,1774,0.6236972024136039,0.9586846543001686,0.79841,03,2014,6
