corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
10762,11736,147,827,0.14093387866394003,0.025051124744376277,5041,5721,0.85906612133606,0.9716653816499614,0.91701,07,2014,0
5513,6176,56,607,0.19656735751295337,0.018134715025906734,2481,3032,0.8034326424870466,0.9779266850610958,0.89265,07,2014,1
8939,10290,49,1302,0.2530612244897959,0.009523809523809525,3843,5096,0.746938775510204,0.987410071942446,0.86871,07,2014,2
11886,18974,128,6960,0.7336355012121851,0.01349214714872984,2527,9359,0.26636449878781493,0.951789077212806,0.62644,07,2014,3
9463,11626,98,2065,0.3552382590744882,0.01685876483743334,3748,5715,0.6447617409255118,0.9745189807592304,0.81395,07,2014,4
20683,22322,224,1415,0.12678075441268705,0.020069886210913,9746,10937,0.873219245587313,0.9775325977933801,0.92657,07,2014,5
7011,7622,72,539,0.14143269483075308,0.018892679086853843,3272,3739,0.858567305169247,0.9784688995215312,0.91984,07,2014,6
