corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
14219,18480,80,4181,0.4524891774891775,0.008658008658008658,5059,9160,0.5475108225108225,0.9844327690212104,0.76943,04,2014,0
9713,11526,88,1725,0.2993232691306611,0.015269824744056915,4038,5675,0.7006767308693389,0.9786718371303926,0.8427,04,2014,1
10880,12004,54,1070,0.17827390869710097,0.008997000999666778,4932,5948,0.8217260913028991,0.9891696750902527,0.90636,04,2014,2
11793,17304,101,5410,0.625288950531669,0.011673601479426723,3242,8551,0.374711049468331,0.9697876159138499,0.68152,04,2014,3
11793,17304,101,5410,0.625288950531669,0.011673601479426723,3242,8551,0.374711049468331,0.9697876159138499,0.68152,04,2014,4
11793,17304,101,5410,0.625288950531669,0.011673601479426723,3242,8551,0.374711049468331,0.9697876159138499,0.68152,04,2014,5
6913,7580,53,614,0.16200527704485487,0.013984168865435357,3176,3737,0.8379947229551451,0.9835862496128832,0.91201,04,2014,6
