corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
5894,6110,54,162,0.053027823240589196,0.0176759410801964,2893,3001,0.9469721767594108,0.9816762809636919,0.96465,08,2014,0
11088,13086,94,1904,0.29099801314381785,0.014366498548066636,4639,6449,0.7090019868561822,0.9801394464398901,0.84732,08,2014,1
9899,11648,111,1638,0.28125,0.019059065934065936,4186,5713,0.71875,0.9741680242029322,0.84985,08,2014,2
7874,9172,61,1237,0.26973397296118623,0.013301351940689054,3349,4525,0.7302660270388138,0.9821114369501466,0.85848,08,2014,3
5894,6110,54,162,0.053027823240589196,0.0176759410801964,2893,3001,0.9469721767594108,0.9816762809636919,0.96465,08,2014,4
9565,10168,101,502,0.0987411487018096,0.01986624704956727,4582,4983,0.9012588512981904,0.9784326286568439,0.9407,08,2014,5
5622,6608,68,918,0.2778450363196126,0.020581113801452784,2386,3236,0.7221549636803875,0.9722901385493072,0.85079,08,2014,6
