lim_attack,lim_normal,reject_rate,error_rate,fpr,fnr
0.5,0.5,0.0010826735065610944,0.1279719120199364,0.032989096587687415,0.22295472745218542
0.5,0.52,0.007541541206646593,0.12407273830122742,0.03308443102049948,0.21506104558195535
0.5,0.54,0.008517341362774619,0.12344261505711338,0.03309615510150793,0.21378907501271882
0.5,0.56,0.009530314858183711,0.12272650925790109,0.033103564066449646,0.21234945444935252
0.5,0.58,0.011007955094606149,0.12173161746329636,0.033118701007838744,0.21034453391875396
0.5,0.6,0.013893535556299023,0.11990088872953128,0.03315830779579939,0.20664346966326316
0.5,0.62,0.01676052934835136,0.11792930038097045,0.03318714407278916,0.20267145668915174
0.5,0.64,0.02275937697483365,0.11413280734818837,0.0332780106332105,0.19498760406316623
0.5,0.66,0.025268577376305713,0.11350930506468032,0.03339229596733219,0.19362631416202844
0.5,0.68,0.03820954611352738,0.10403583800284764,0.03351654578422484,0.17455513022147046
0.5,0.7,0.04008215307981116,0.10256344549509859,0.03352984524686809,0.1715970457433291
0.5,0.72,0.04054217315341437,0.10222442325468982,0.03353491448549561,0.17091393202388402
0.5,0.74,0.04487286717965875,0.098545934917399,0.03354917994044524,0.16354268989435278
0.5,0.76,0.04908739452064979,0.09557509842109403,0.03361145573876067,0.1575387411034274
0.5,0.78,0.06171238987398238,0.08682145050929072,0.03382802893826313,0.13981487208031831
0.5,0.8,0.06213523660830452,0.08656028692988053,0.033838027497568694,0.13928254636219237
0.5,0.82,0.06220958328686666,0.08653066509343389,0.03384093141227961,0.13922039877458817
0.5,0.84,0.0645747369986246,0.08558003679178372,0.033933147206180445,0.13722692637738698
0.5,0.86,0.0663404706144753,0.0846225909073907,0.033985138085570916,0.1352600437292105
0.5,0.88,0.0755780454258206,0.07622811264409488,0.03403239262391761,0.11842383266427213
0.5,0.9,0.08228318649864318,0.07402813842646942,0.034341948656416016,0.11371432819652283
0.5,0.92,0.09396026170030854,0.0666618084198109,0.03465752622019101,0.0986660906194308
0.5,0.94,0.0963858220883982,0.06516345004838832,0.034728066226980055,0.09559883386979658
0.5,0.96,0.09806791569086651,0.06389789421780996,0.034762422497134966,0.09303336593848495
0.5,0.98,0.1013298762127802,0.06322629508851348,0.034949677978453116,0.09150291219857384
0.5,1.0,0.12186814616557005,0.05622377753237172,0.0359858855022206,0.07646166956252283
0.52,0.5,0.0022582803613248577,0.12808562216440605,0.0327463413727058,0.2234249029561063
0.52,0.52,0.008717148061410357,0.1241800948561522,0.03284099809779568,0.21551919161450872
0.52,0.54,0.009692948217538381,0.12354894489921331,0.03285263884484078,0.21424525095358585
0.52,0.56,0.010705921712947474,0.12283169258566466,0.032859995148439104,0.21280339002289023
0.52,0.58,0.012183561949369912,0.12183517756173942,0.032875024502254206,0.21079533062122463
0.52,0.6,0.015069142411062785,0.1200013822154424,0.03291434979673847,0.20708841463414634
0.52,0.62,0.017936136203115127,0.11802650991367447,0.03294298114337025,0.2031100386839787
0.52,0.64,0.02393498382959741,0.11422341772263118,0.033033202025886325,0.19541363341937604
0.52,0.66,0.02644418423106948,0.1135983808195486,0.033146675450567036,0.19405008618853015
0.52,0.68,0.03938515296829114,0.1041081306146866,0.03327004279196304,0.17494621843741015
0.52,0.7,0.04125775993457492,0.10263306754241883,0.03328324780993962,0.17198288727489802
