lim_attack,lim_normal,reject_rate,error_rate,fpr,fnr
0.5,0.5,0.001078026839150961,0.11560592136640782,0.041951672862453535,0.1892601698703621
0.5,0.52,0.0065006877067766995,0.11182780022098993,0.04201688494224307,0.18163871549973679
0.5,0.54,0.007081521133043381,0.11139502466486474,0.04202157864849517,0.1807684706812343
0.5,0.56,0.008057321289171407,0.11082367762777201,0.04204467129896984,0.1796026839565742
0.5,0.58,0.008456934686442883,0.11056009905683842,0.04205132982439797,0.17906886828927887
0.5,0.6,0.011100888442808817,0.10879727059772794,0.04209446542639996,0.1755000757690559
0.5,0.62,0.012964202074272332,0.1077042759630718,0.042140049851100175,0.17326850207504343
0.5,0.64,0.013991115571911825,0.10702519766312671,0.04215815378293314,0.17189224154332028
0.5,0.66,0.018832943013270882,0.10648193600086725,0.04249990584868,0.1704639661530545
0.5,0.68,0.0221413702092859,0.10409834832746784,0.04254276424296687,0.1656539324119688
0.5,0.7,0.031151258317534663,0.09653806260087527,0.04257406132400238,0.15050206387774817
0.5,0.72,0.03149511170588454,0.09628768817094063,0.04257928198162507,0.1499960943602562
0.5,0.74,0.038483699490725255,0.09173261754793838,0.042740141078445294,0.14072509401743147
0.5,0.76,0.04090461321140478,0.08981668465931743,0.04276767695907984,0.136865692359555
0.5,0.78,0.043135013568268835,0.08799254446278697,0.042789163364741124,0.13319592556083282
0.5,0.8,0.04326047358834244,0.08791667835171074,0.042792814144191116,0.13304054255923037
0.5,0.82,0.0584086093453775,0.0766810370831606,0.0430753962573836,0.1102866779089376
0.5,0.84,0.05925894948143192,0.07617155405259672,0.04310336595846264,0.1092397421467308
0.5,0.86,0.061261663135199436,0.07488465525487989,0.043162303264424086,0.10660700724533569
0.5,0.88,0.06167056986729118,0.07459122867116579,0.043171797740988345,0.10601065960134323
0.5,0.9,0.08010389948329058,0.06109314259137588,0.04361689792447725,0.0785693872582745
0.5,0.92,0.08095888628675514,0.06037277708153434,0.04363165373053539,0.07711390043253329
0.5,0.94,0.08812869410059106,0.058805832199073926,0.04413202455907082,0.07347963983907703
0.5,0.96,0.09816549570647931,0.05252508742273873,0.044508864304166916,0.06054131054131054
0.5,0.98,0.1001356826883759,0.05215255112684555,0.04465681328030708,0.059648288973384034
