lim_attack,lim_normal,reject_rate,error_rate,fpr,fnr
0.5,0.5,0.003861380617820899,0.14124208631076102,0.027468130641109145,0.2550160419804129
0.5,0.52,0.0038799672874614325,0.1412353732503189,0.027468641828265156,0.25500210467237266
0.5,0.54,0.0039032006245121,0.14122517538347537,0.027469153034448104,0.25498119773250266
0.5,0.56,0.003940373963793167,0.14120090947692845,0.027469408644675012,0.2549324103091819
0.5,0.58,0.003958960633433701,0.1411869687786528,0.027469408644675012,0.2549045289126306
0.5,0.6,0.0039775473030742355,0.14118025365561107,0.02746991987940035,0.2548905874318218
0.5,0.62,0.004005427307535036,0.14115933986915574,0.02746991987940035,0.25484875985891114
0.5,0.64,0.004056540649046504,0.1411426768292305,0.027471453697758174,0.25481389996070286
0.5,0.66,0.024102263856362216,0.12969833097802716,0.0277532294154147,0.23164343254063963
0.5,0.68,0.024139437195643286,0.12968018989335228,0.027754012203491815,0.23160636758321274
0.5,0.7,0.024223077209025688,0.12964800124015066,0.027756360832690823,0.2315396416476105
0.5,0.72,0.02830285119512286,0.12673158631473067,0.027780914737436477,0.22568225789202484
0.5,0.74,0.04023084643693543,0.1177035993730049,0.027837501414507186,0.2075696973315026
0.5,0.76,0.040272666443626634,0.1176844124103087,0.027838551490003773,0.20753027333061363
0.5,0.78,0.040342366454778636,0.11763341456246564,0.027839076557460533,0.20742775256747073
0.5,0.8,0.04044459313780157,0.11756701811787691,0.027840389312761123,0.2072936469229927
0.5,0.82,0.04072803984981971,0.11734663409648464,0.027841702191873846,0.20685156600109544
0.5,0.84,0.052818668450986955,0.11523895465608931,0.02837806660001538,0.20209984271216325
0.5,0.86,0.05648953570499238,0.11264311849390767,0.02841631050017327,0.19686992648764207
0.5,0.88,0.0652020370989926,0.1082456283039141,0.028629896517277834,0.18786136009055035
0.5,0.9,0.0690912977212743,0.10530626140026797,0.028665481982113206,0.18194704081842272
0.5,0.92,0.07315248503773093,0.10389507224451333,0.028811524609843937,0.17897861987918273
0.5,0.94,0.07364038511579495,0.10348968182732224,0.028814055636896048,0.17816530801774844
0.5,0.96,0.07769227909743132,0.10209166783075728,0.02896275656371414,0.17522057909780042
0.5,0.98,0.07818017917549533,0.10182841193176903,0.02897469621719244,0.17468212764634564
0.5,1.0,0.1422670160960559,0.0586913191853647,0.030322951762675653,0.08705968660805374
0.52,0.5,0.0038799672874614325,0.14123542225428273,0.0274500316373246,0.25502081287124084
0.52,0.52,0.0038985539571019666,0.14122870894443607,0.027450542497161893,0.25500687539171024
0.52,0.54,0.003921787294152634,0.14121851078529432,0.027451053376014292,0.25498596819457436
0.52,0.56,0.003958960633433701,0.14119424449669826,0.02745130882257149,0.254937180170825
0.52,0.58,0.0039775473030742355,0.1411803036268271,0.02745130882257149,0.25490929843108273
0.52,0.6,0.003996133972714769,0.14117358825430132,0.027451819729948538,0.2548953567786541
0.52,0.62,0.0040240139771755695,0.14115267421036773,0.027451819729948538,0.2548535286907869
0.52,0.64,0.004075127318687037,0.1411360104647637,0.027453352566190498,0.25481866836333694
0.52,0.66,0.02412085052600275,0.12969142502485806,0.027734947914707982,0.23164790213500816
0.52,0.68,0.024158023865283818,0.12967328343992338,0.027735730201859703,0.23161083667798704
0.52,0.7,0.02424166387866622,0.12964109358546888,0.02773807732811795,0.23154410984281978
0.52,0.72,0.02832143786476339,0.12672463088514418,0.027762615520713733,0.22568664624957466
0.52,0.74,0.040249433106575964,0.11769649694909039,0.02781916599083382,0.20757382790734696
0.52,0.76,0.040291253113267166,0.11767730936093876,0.027820215394481224,0.20753440332739628
0.52,0.78,0.04036095312441917,0.1176263105920264,0.027820740125994944,0.20743188105805785
0.52,0.8,0.0404631798074421,0.11755991274196928,0.027822052041384125,0.20729777344255443
0.52,0.82,0.04074662651946024,0.11733952504862968,0.027823364080508554,0.2068556860167508
0.52,0.84,0.05283725512062749,0.11523163885758687,0.02835938551460268,0.20210389220057107
0.52,0.86,0.056508122374632916,0.11263575100758086,0.02839760497487534,0.19687389704028638
0.52,0.88,0.06522062376863313,0.10823812299511348,0.028611054535579543,0.18786519145464742
0.52,0.9,0.06910988439091484,0.10529869792864567,0.028646617271482534,0.1819507785858088
0.52,0.92,0.07317107170737147,0.10388743832277308,0.02879256663771143,0.17898231000783474
0.52,0.94,0.07365897178543548,0.10348204053272202,0.02879509604872716,0.17816898501671688
0.52,0.96,0.07771086576707185,0.10208395516367663,0.028943702046663133,0.17522420828069013
0.52,0.98,0.07819876584513587,0.10182069105907439,0.02895563407930899,0.1746857480388398
0.52,1.0,0.14228560276569643,0.058682356422994,0.030303030303030304,0.0870616825429577
0.54,0.5,0.0039124939593323665,0.1412323364196011,0.027431931959875682,0.2550327408793265
0.54,0.52,0.003931080628972901,0.14122562273171302,0.02743244249236954,0.2550188029710565
0.54,0.54,0.003954313966023568,0.14121542408730123,0.02743295304386667,0.2549978951307358
0.54,0.56,0.003991487305304636,0.1411911569663048,0.027433208326741794,0.2549491056058678
0.54,0.58,0.004010073974945169,0.14117721566743138,0.027433208326741794,0.254921223008121
0.54,0.6,0.004028660644585703,0.1411704999166876,0.027433718906745827,0.25490728092662934
0.54,0.62,0.004056540649046504,0.14114958522903817,0.027433718906745827,0.2548654515513305
0.54,0.64,0.004107653990557972,0.1411329204557701,0.027435250760797746,0.2548305901507425
0.54,0.66,0.024153377197873686,0.12968787130103007,0.027716665726481262,0.23165907687557888
0.54,0.68,0.024190550537154753,0.1296697288410968,0.027717447512669354,0.23162201016952425
0.54,0.7,0.024274190550537155,0.1296375371106151,0.02771979313587212,0.23155528108535808
0.54,0.72,0.028353964536634326,0.12672096675262473,0.027744315615118205,0.22569761789013126
0.54,0.74,0.040281959778446896,0.11769249247086913,0.02780082987551867,0.20758415506621958
0.54,0.76,0.0403237797851381,0.11767330382290751,0.027801878607265455,0.20754472903854956
0.54,0.78,0.0403934797962901,0.11762230300318166,0.02780240300281042,0.2074422030035529
0.54,0.8,0.04049570647931304,0.11755590226924413,0.027803714078223882,0.20730809046026438
0.54,0.82,0.04077915319133118,0.11733550602562896,0.027805025277295708,0.20686598677396223
0.54,0.84,0.05286978179249842,0.11522736017121243,0.028340703710824842,0.20211401663160003
0.54,0.86,0.05654064904650385,0.11263136142596657,0.02837889872930304,0.19688382412263009
0.54,0.88,0.06525315044050407,0.10823349118577133,0.028592211822898988,0.18787477054864368
0.54,0.9,0.06914241106278576,0.10529393775213008,0.028627751828078113,0.18196012367618206
0.54,0.92,0.07320359837924241,0.10388257196032356,0.028773607925430676,0.17899153599521644
0.54,0.94,0.07369149845730642,0.10347715694923004,0.028776135720281905,0.1781781781781782
0.54,0.96,0.0777433924389428,0.10207896433872873,0.02892464678178964,0.17523328189566784
0.54,0.98,0.0782312925170068,0.10181568543482969,0.028936571192995544,0.17469479967666385
0.54,1.0,0.1423181294375674,0.05867489040272457,0.03028310802481818,0.08706667278063096
0.56,0.5,0.003926433961562767,0.14123019713175433,0.027422881868515332,0.25503751239499334
0.56,0.52,0.003945020631203301,0.14122348327627524,0.027423392237328197,0.25502357431522227
0.56,0.54,0.003968253968253968,0.14121328442137895,0.027423902625138424,0.25500266621761947
0.56,0.56,0.004005427307535036,0.14118901695922656,0.027424157826167875,0.25495387609228526
0.56,0.58,0.0040240139771755695,0.1411750754887468,0.027424157826167875,0.25492599315132575
0.56,0.6,0.004042600646816104,0.14116835957033985,0.02742466824247613,0.25491205089820357
0.56,0.62,0.004070480651276904,0.141147444625196,0.02742466824247613,0.25487022100791584
0.56,0.64,0.004121593992788372,0.14113077939173216,0.027426199605405203,0.2548353591780591
0.56,0.66,0.024167317200104087,0.12968553572411448,0.027707524374535778,0.23166354707369316
0.56,0.68,0.024204490539385153,0.12966739288911683,0.027708305910227722,0.2316264798680059
0.56,0.7,0.024288130552767555,0.1296352003330327,0.027710650781859726,0.23155974988420566
0.56,0.72,0.028367904538864726,0.12671858612451695,0.02773516540398099,0.2257020068450529
0.56,0.74,0.0402958997806773,0.11768997388799111,0.0277916615584832,0.20758828621749903
0.56,0.76,0.0403377197873685,0.11767078478248784,0.027792709954260385,0.20754885961071529
0.56,0.78,0.0404074197985205,0.11761978312559948,0.027793234181811323,0.20744633206938765
0.56,0.8,0.04050964648154344,0.11755338119605459,0.02779454483721281,0.20731221755489637
0.56,0.82,0.04079309319356158,0.11733298149016798,0.027795855616234214,0.20687010736410175
0.56,0.84,0.05288372179472882,0.11522471461378854,0.028331362539536047,0.20211806668804103
0.56,0.86,0.05655458904873425,0.11262867028614358,0.028369545336401004,0.19688779523588615
0.56,0.88,0.06526709044273447,0.10823069632609789,0.028582790192427064,0.1878786024597687
0.56,0.9,0.06915635106501616,0.10529109040634593,0.028618318831572405,0.18196386198111947
0.56,0.92,0.07321753838147281,0.10387967747410784,0.02876412829172116,0.17899522665649453
0.56,0.94,0.07370543845953682,0.10347425549342276,0.02876665527844209,0.17818185570840342
0.56,0.96,0.0777573324411732,0.10207601523684526,0.0289151188689057,0.17523691160478483
0.56,0.98,0.0782452325192372,0.10181273003180862,0.028927039469163796,0.17469842059445342
0.56,1.0,0.1423320694397978,0.05867090780730798,0.030273146578733808,0.08706866903588215
0.58,0.5,0.012578528679231255,0.1431046542653667,0.026816141827594554,0.25939316670313883
0.58,0.52,0.01259711534887179,0.14309785733917849,0.026816641215687734,0.25937907346266925
0.58,0.54,0.012620348685922456,0.14308753660931234,0.02681714062238114,0.2593579325962435
0.58,0.56,0.012657522025203524,0.14306299477335888,0.02681739033270325,0.2593085992140145
0.58,0.58,0.012676108694844057,0.1430488980458705,0.02681739033270325,0.25928040575903777
0.58,0.6,0.012694695364484592,0.14304209899698628,0.026817889767298937,0.2592663082266736
0.58,0.62,0.012722575368945393,0.14302095108850485,0.026817889767298937,0.25922401240971077
0.58,0.64,0.01277368871045686,0.14300407519419533,0.02681938818270708,0.2591887622056836
0.58,0.66,0.03281941191777257,0.13142049865413127,0.02709466197527612,0.23574633533298642
0.58,0.68,0.03285658525705364,0.13140212098802181,0.02709542670592995,0.2357088152701137
0.58,0.7,0.032940225270436045,0.1313694955146827,0.02709772115692215,0.23564126987244322
0.58,0.72,0.037019999256533216,0.12841642517288768,0.02712170866764606,0.2297111416781293
