fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
137,399,7921,8828,0.04795673076923077,0.01528165086447295,1195,0.06466450216450216,Apr,2014,0
160,376,5160,5520,0.06791907514450866,0.028169014084507043,310,0.02689571403782752,Apr,2014,1
135,517,5244,5787,0.08974136434646762,0.022796352583586626,321,0.026741086304565145,Apr,2014,2
193,1516,6157,8345,0.19757591554802553,0.02260482548606231,1093,0.06316458622283865,Apr,2014,3
161,823,6728,8370,0.10899218646536883,0.018872347907630992,1222,0.0706195099398983,Apr,2014,4
164,778,6271,8357,0.11037026528585615,0.019246567304307006,1734,0.10020804438280166,Apr,2014,5
92,237,3318,3615,0.06666666666666667,0.02481791205826814,318,0.04195250659630607,Apr,2014,6
