corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
5465,6316,118,733,0.23210892970234326,0.037365421152628246,2425,3040,0.7678910702976568,0.9535981124655918,0.86526,03,2014,0
4738,5116,104,274,0.10711493354182955,0.040656763096168884,2284,2454,0.8928850664581705,0.9564489112227805,0.92611,03,2014,1
2064,2112,32,16,0.015151515151515152,0.030303030303030304,1040,1024,0.9848484848484849,0.9701492537313433,0.97727,03,2014,2
5777,6016,97,142,0.04720744680851064,0.032247340425531915,2866,2911,0.9527925531914894,0.9672629092136348,0.96027,03,2014,3
6869,7390,168,353,0.09553450608930988,0.04546684709066306,3342,3527,0.9044654939106901,0.9521367521367521,0.9295,03,2014,4
6509,6844,148,187,0.05464640561075394,0.04324956165984804,3235,3274,0.945353594389246,0.9562518474726575,0.95105,03,2014,5
3554,3646,76,16,0.00877674163466813,0.041689522764673616,1807,1747,0.9912232583653319,0.9596388741370154,0.97477,03,2014,6
