corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
5955,6110,75,80,0.02618657937806874,0.024549918166939442,2975,2980,0.9738134206219312,0.9754098360655737,0.97463,08,2014,0
12570,13086,180,336,0.05135259055479138,0.027510316368638238,6207,6363,0.9486474094452086,0.9718177548144669,0.96057,08,2014,1
10841,11648,171,636,0.1092032967032967,0.029361263736263736,5188,5653,0.8907967032967034,0.9680910617652547,0.93072,08,2014,2
8546,9172,110,516,0.11251635412123855,0.02398604448320977,4070,4476,0.8874836458787615,0.9736842105263158,0.93175,08,2014,3
5955,6110,75,80,0.02618657937806874,0.024549918166939442,2975,2980,0.9738134206219312,0.9754098360655737,0.97463,08,2014,4
9658,10168,174,336,0.06608969315499606,0.034225019669551535,4748,4910,0.933910306845004,0.9646485168630637,0.94984,08,2014,5
6376,6608,107,125,0.037832929782082324,0.03238498789346247,3179,3197,0.9621670702179177,0.9674376141205112,0.96489,08,2014,6
