corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
11651,12602,229,722,0.11458498651007777,0.0363434375495953,5579,6072,0.8854150134899222,0.9605716253443526,0.92454,12,2014,0
67868,70944,1002,2074,0.058468651330626974,0.02824763193504736,33398,34470,0.941531348669373,0.9708720930232558,0.95664,12,2014,1
11948,16806,4295,563,0.06699988099488279,0.5111269784600738,7840,4108,0.9330001190051173,0.646065100947672,0.71094,12,2014,2
11651,12602,229,722,0.11458498651007777,0.0363434375495953,5579,6072,0.8854150134899222,0.9605716253443526,0.92454,12,2014,3
13686,16322,281,2355,0.288567577502757,0.034432054895233426,5806,7880,0.711432422497243,0.953836044028257,0.8385,12,2014,4
96598,102250,1632,4020,0.07863080684596577,0.03192176039119805,47105,49493,0.9213691931540342,0.9665141473623735,0.94472,12,2014,5
14992,16550,260,1298,0.15685800604229608,0.03141993957703928,6977,8015,0.843141993957704,0.9640735111233937,0.90586,12,2014,6
