corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
7536,7838,142,160,0.04082674151569278,0.03623373309517734,3759,3777,0.9591732584843072,0.9635990771597026,0.96147,05,2014,0
5510,6520,90,920,0.2822085889570552,0.027607361963190184,2340,3170,0.7177914110429447,0.9629629629629629,0.84509,05,2014,1
10621,11054,215,218,0.03944273566129908,0.03889994572100597,5309,5312,0.9605572643387009,0.9610789283128168,0.96083,05,2014,2
30570,32824,562,1692,0.10309529612478674,0.03424323665610529,14720,15850,0.8969047038752133,0.9632247088077477,0.93133,05,2014,3
9533,9770,145,92,0.018833162743091096,0.02968270214943705,4793,4740,0.9811668372569089,0.9706358849736736,0.97574,05,2014,4
5510,6520,90,920,0.2822085889570552,0.027607361963190184,2340,3170,0.7177914110429447,0.9629629629629629,0.84509,05,2014,5
7332,7730,187,211,0.05459249676584735,0.048382923673997415,3654,3678,0.9454075032341527,0.9513147617807862,0.94851,05,2014,6
