corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
26313,30300,229,3758,0.24805280528052806,0.015115511551155116,11392,14921,0.7519471947194719,0.9802942948111179,0.86842,09,2014,0
9047,10046,89,910,0.18116663348596457,0.01771849492335258,4113,4934,0.8188333665140355,0.9788196097096621,0.90056,09,2014,1
3185,4102,62,855,0.41686981960019504,0.03022915650901999,1196,1989,0.583130180399805,0.9507154213036566,0.77645,09,2014,2
11070,12286,140,1076,0.17515871723913398,0.02279016767051929,5067,6003,0.824841282760866,0.9731131169579412,0.90103,09,2014,3
11070,12286,140,1076,0.17515871723913398,0.02279016767051929,5067,6003,0.824841282760866,0.9731131169579412,0.90103,09,2014,4
10857,11764,104,803,0.13651819109146549,0.01768106086365182,5079,5778,0.8634818089085345,0.9799344009261046,0.9229,09,2014,5
5946,6448,74,428,0.1327543424317618,0.02295285359801489,2796,3150,0.8672456575682382,0.9742160278745644,0.92215,09,2014,6
