corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
6974,7838,81,783,0.19979586629242155,0.02066853789231947,3136,3838,0.8002041337075785,0.9748212620453839,0.88977,05,2014,0
5430,6520,45,1045,0.3205521472392638,0.013803680981595092,2215,3215,0.6794478527607362,0.9800884955752213,0.83282,05,2014,1
10610,11054,110,334,0.06043061335263253,0.01990229781074724,5193,5417,0.9395693866473674,0.9792570243258533,0.95983,05,2014,2
17580,32824,291,14953,0.9111016329514989,0.017730928588837437,1459,16121,0.0888983670485011,0.8337142857142857,0.53558,05,2014,3
9464,9770,88,218,0.044626407369498466,0.018014329580348005,4667,4797,0.9553735926305016,0.9814931650893796,0.96868,05,2014,4
5430,6520,45,1045,0.3205521472392638,0.013803680981595092,2215,3215,0.6794478527607362,0.9800884955752213,0.83282,05,2014,5
7396,7730,103,231,0.05976714100905563,0.026649417852522637,3634,3762,0.9402328589909443,0.9724377843189724,0.95679,05,2014,6
