corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
7414,8554,119,1021,0.2387187280804302,0.027823240589198037,3256,4158,0.7612812719195698,0.9647407407407408,0.86673,10,2014,0
6550,8718,139,2029,0.46547373250745583,0.03188804771736637,2330,4220,0.5345262674925442,0.9437019036046983,0.75132,10,2014,1
173713,178204,2451,2040,0.02289510897622949,0.02750780004938161,87062,86651,0.9771048910237705,0.9726185023404422,0.9748,10,2014,2
10521,11474,182,771,0.13439079658358027,0.031723897507408054,4966,5555,0.8656092034164198,0.9646464646464646,0.91694,10,2014,3
14765,16002,245,992,0.12398450193725784,0.03062117235345582,7009,7756,0.8760154980627421,0.9662255307416597,0.9227,10,2014,4
9025,9556,138,393,0.0822519882796149,0.02888237756383424,4385,4640,0.9177480117203851,0.969489277028521,0.94443,10,2014,5
6550,8718,139,2029,0.46547373250745583,0.03188804771736637,2330,4220,0.5345262674925442,0.9437019036046983,0.75132,10,2014,6
