corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
8399,8954,138,417,0.09314272950636587,0.03082421264239446,4060,4339,0.9068572704936342,0.9671272034302049,0.93802,01,2014,0
8399,8954,138,417,0.09314272950636587,0.03082421264239446,4060,4339,0.9068572704936342,0.9671272034302049,0.93802,01,2014,0
13096,13430,156,178,0.026507818317200296,0.02323157110945644,6537,6559,0.9734921816827997,0.976692066337965,0.97513,01,2014,1
5421,5566,98,47,0.01688825008983112,0.03521379805964786,2736,2685,0.9831117499101689,0.9654199011997178,0.97395,01,2014,2
63096,77064,1355,12613,0.327338316204713,0.03516557666355237,25919,37177,0.672661683795287,0.950318985114028,0.81875,01,2014,3
5304,5450,65,81,0.029724770642201834,0.023853211009174313,2644,2660,0.9702752293577982,0.9760059062384644,0.97321,01,2014,4
11269,11476,147,60,0.010456605088881143,0.0256186824677588,5678,5591,0.9895433949111189,0.9747639484978541,0.98196,01,2014,5
4606,4720,77,37,0.015677966101694914,0.032627118644067796,2323,2283,0.9843220338983051,0.9679166666666666,0.97585,01,2014,6
8399,8954,138,417,0.09314272950636587,0.03082421264239446,4060,4339,0.9068572704936342,0.9671272034302049,0.93802,01,2014,0
13097,13430,155,178,0.026507818317200296,0.02308265078183172,6537,6560,0.9734921816827997,0.9768380155409444,0.9752,01,2014,1
5422,5566,98,46,0.01652892561983471,0.03521379805964786,2737,2685,0.9834710743801653,0.9654320987654321,0.97413,01,2014,2
63094,77064,1356,12614,0.3273642686598152,0.03519152911865463,25918,37176,0.6726357313401847,0.9502823201583926,0.81872,01,2014,3
5304,5450,65,81,0.029724770642201834,0.023853211009174313,2644,2660,0.9702752293577982,0.9760059062384644,0.97321,01,2014,4
11269,11476,147,60,0.010456605088881143,0.0256186824677588,5678,5591,0.9895433949111189,0.9747639484978541,0.98196,01,2014,5
4606,4720,77,37,0.015677966101694914,0.032627118644067796,2323,2283,0.9843220338983051,0.9679166666666666,0.97585,01,2014,6
