corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
6710,6908,175,23,0.006658946149392009,0.0506658946149392,3431,3279,0.993341053850608,0.9514697726012202,0.97134,06,2014,0
54690,56854,1382,782,0.027509058289654203,0.04861575262954233,27645,27045,0.9724909417103458,0.9523891549247252,0.96194,06,2014,1
23375,24596,1035,186,0.015124410473247682,0.08416002602049114,12112,11263,0.9848755895267524,0.9212748155472732,0.95036,06,2014,2
9327,9656,210,119,0.02464788732394366,0.043496271748135876,4709,4618,0.9753521126760564,0.9573083960154503,0.96593,06,2014,3
6710,6908,175,23,0.006658946149392009,0.0506658946149392,3431,3279,0.993341053850608,0.9514697726012202,0.97134,06,2014,4
62551,72374,2685,7138,0.19725315721115316,0.07419791637881007,29049,33502,0.8027468427888468,0.9153904329740972,0.86427,06,2014,5
6710,6908,175,23,0.006658946149392009,0.0506658946149392,3431,3279,0.993341053850608,0.9514697726012202,0.97134,06,2014,6
