corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
9239,10826,213,1374,0.2538333641234066,0.03934971365231849,4039,5200,0.7461666358765934,0.9499059266227657,0.85341,02,2014,0
8756,9324,205,363,0.07786357786357787,0.04397254397254397,4299,4457,0.9221364221364221,0.9544849023090586,0.93908,02,2014,1
2363,2600,75,162,0.12461538461538461,0.057692307692307696,1138,1225,0.8753846153846154,0.9381698268755152,0.90885,02,2014,2
11619,11862,207,36,0.006069802731411229,0.03490136570561457,5895,5724,0.9939301972685888,0.9660766961651918,0.97951,02,2014,3
11765,14010,302,1943,0.2773733047822984,0.04311206281227695,5062,6703,0.7226266952177016,0.9436987322893363,0.83976,02,2014,4
9239,10826,213,1374,0.2538333641234066,0.03934971365231849,4039,5200,0.7461666358765934,0.9499059266227657,0.85341,02,2014,5
5749,5954,124,81,0.02720859926100101,0.04165267047363117,2896,2853,0.972791400738999,0.9589403973509933,0.96557,02,2014,6
9235,10826,212,1379,0.2547570663218178,0.03916497321263625,4034,5201,0.7452429336781822,0.9500706547338672,0.85304,02,2014,0
8762,9324,204,358,0.07679107679107679,0.043758043758043756,4304,4458,0.9232089232089232,0.9547471162377995,0.93973,02,2014,1
2364,2600,75,161,0.12384615384615384,0.057692307692307696,1139,1225,0.8761538461538462,0.9382207578253706,0.90923,02,2014,2
11620,11862,206,36,0.006069802731411229,0.03473276007418648,5895,5725,0.9939301972685888,0.9662350434355024,0.9796,02,2014,3
11764,14010,302,1944,0.27751605995717343,0.04311206281227695,5061,6703,0.7224839400428266,0.9436882341972777,0.83969,02,2014,4
9235,10826,212,1379,0.2547570663218178,0.03916497321263625,4034,5201,0.7452429336781822,0.9500706547338672,0.85304,02,2014,5
5749,5954,124,81,0.02720859926100101,0.04165267047363117,2896,2853,0.972791400738999,0.9589403973509933,0.96557,02,2014,6
