timestamp,clf,time_elapsed,type,month,last_month
2021-07-03 00:29:58.550638,EnsembleRejection,0.3638076170027489,train,11,09
2021-07-03 00:38:38.814316,EnsembleRejection,0.27131993499642704,train,11,09
2021-07-03 00:41:42.981058,EnsembleRejection,0.39089187599893194,train,11,09
2021-07-03 00:43:23.585342,EnsembleRejection,2264.8122440869993,test,11,09
2021-07-03 00:43:24.481451,EnsembleRejection,0.833461170004739,train,12,10
2021-07-03 00:44:12.100389,EnsembleRejection,0.23965656100335764,train,12,10
2021-07-03 00:47:53.932548,EnsembleRejection,2.124435669997183,train,12,10
2021-07-03 00:48:47.356643,EnsembleRejection,0.10616494600253645,train,12,10
2021-07-03 00:49:28.129463,EnsembleRejection,0.1702933410051628,train,12,10
2021-07-03 00:50:20.429466,EnsembleRejection,0.042267253003956284,train,12,10
2021-07-03 00:55:54.041331,EnsembleRejection,1.5181926209988887,train,12,10
2021-07-03 00:56:47.675206,EnsembleRejection,804.0891628539975,test,12,10
2021-07-04 22:20:55.338072,EnsembleRejection_update_3delay,390.60378956099885,test,01,01
2021-07-04 22:24:23.837832,EnsembleRejection_update_3delay,208.499006258,test,02,-1
2021-07-04 22:26:20.783762,EnsembleRejection_update_3delay,116.94528085599813,test,03,0
2021-07-04 22:26:30.720316,EnsembleRejection,9.81031510399771,train,04,01
2021-07-04 22:27:42.074817,EnsembleRejection,14.27748182600044,train,04,01
2021-07-04 22:28:23.137518,EnsembleRejection,4.21733239400055,train,04,01
2021-07-04 22:29:37.604111,EnsembleRejection,35.99308790500072,train,04,01
2021-07-04 22:30:40.258181,EnsembleRejection,4.649843807001162,train,04,01
2021-07-04 22:31:47.811845,EnsembleRejection,12.337298697999358,train,04,01
2021-07-04 22:32:48.583517,EnsembleRejection,7.7400097899990215,train,04,01
2021-07-04 22:33:11.784861,EnsembleRejection_update_3delay,411.0004301909976,test,04,01
2021-07-04 22:33:19.514906,EnsembleRejection,7.66780370700144,train,05,02
2021-07-04 22:33:57.141996,EnsembleRejection,6.6224815390014555,train,05,02
2021-07-04 22:34:21.806167,EnsembleRejection,1.771224694999546,train,05,02
2021-07-04 22:35:01.191929,EnsembleRejection,4.769526523999957,train,05,02
2021-07-04 22:37:04.098515,EnsembleRejection,9.910895378998248,train,05,02
2021-07-04 22:37:32.197583,EnsembleRejection,7.732728421000502,train,05,02
2021-07-04 22:38:00.548784,EnsembleRejection,4.037590829997498,train,05,02
