precision,recall,fpr,fnr,fp,tn,fn,tp,mean_accuracy,mean_std,month,test_year
0.9713683450443074,0.8705276532706239,0.025268374046325207,0.1294723467293761,297.0,10030.833333333334,2300.1666666666665,8027.666666666667,0.9226283333333333,0.050440462098068344,Jan,2014
0.9657514294267698,0.7137329925265296,0.023971024031448913,0.2862670074734704,103.71428571428571,4426.0,1397.4285714285713,3132.285714285714,0.84488,0.0969655645061689,Feb,2014
0.9677522990255146,0.648190704288068,0.021111132822441148,0.35180929571193215,82.85714285714286,4311.0,1618.5714285714287,2775.285714285714,0.81354,0.06341297133342147,Mar,2014
0.9785810811633274,0.6709521720072898,0.013788014547278623,0.3290478279927101,62.0,4860.0,1690.5714285714287,3231.4285714285716,0.8285828571428572,0.08085172698924159,Apr,2014
0.9760304486312907,0.6247941476703642,0.012508738498869399,0.3752058523296358,69.2,6001.2,3102.4,2968.0,0.806142,0.12761096669173855,May,2014
0.9706013050946496,0.6281410595055511,0.015643578466796003,0.37185894049444884,116.8,7421.2,3656.0,3882.0,0.8062480000000001,0.1334363980329205,Jun,2014
0.9786959844287201,0.7476207737716237,0.016170942985815423,0.2523792262283763,81.0,4855.833333333333,1157.8333333333333,3779.0,0.865725,0.06347011414831392,Jul,2014
0.9792357594731032,0.7414956297512247,0.015264552087062618,0.2585043702487754,71.28571428571429,4916.428571428572,1292.0,3695.714285714286,0.8631128571428571,0.0497731148025001,Aug,2014
0.9827353259116013,0.7228058187731256,0.0122992116189552,0.27719418122687445,72.8,5888.8,1635.2,4326.4,0.8552520000000001,0.07439329989992378,Sep,2014
0.9632803295089999,0.6987941484285249,0.02607143966515608,0.30120585157147506,149.28571428571428,5434.571428571428,1610.0,3973.8571428571427,0.8363614285714285,0.06660619451386672,Oct,2014
0.9392675872567832,0.5228647509388495,0.018838932096737947,0.47713524906115046,547.2,25957.2,12527.6,13976.8,0.752012,0.18199043112207847,Nov,2014
0.9465378806493883,0.5599732388497723,0.029554622638239537,0.44002676115022776,335.5,11250.5,4593.666666666667,6992.333333333333,0.7652083333333333,0.065669515428901,Dec,2014
