precision,recall,fpr,fnr,fp,tn,fn,tp,mean_accuracy,mean_std,month,test_year
0.9618872555193116,0.7531547293374009,0.028004663965996435,0.24684527066259904,225.42857142857142,7706.714285714285,3191.714285714286,4740.428571428572,0.8625757142857144,0.09053112335124366,Jan,2014
0.9594425751769098,0.8090377342624195,0.033629086567356546,0.1909622657375804,163.0,4696.8,847.0,4012.8,0.8877039999999999,0.07786126912656896,Feb,2014
0.9657939022003574,0.8654475456771452,0.030811617734847856,0.1345524543228547,107.0,3292.6,449.8,2949.8,0.9173180000000001,0.02041965890998184,Mar,2014
0.9779588189539731,0.7429955290496876,0.016478764454521715,0.25700447095031254,71.83333333333333,4767.0,1360.6666666666667,3478.1666666666665,0.8632583333333333,0.058209412784073565,Apr,2014
0.9780679272738828,0.7112721104915561,0.013923580577845159,0.2887278895084439,85.83333333333333,6849.0,3181.6666666666665,3753.1666666666665,0.8486766666666666,0.121667814752574,May,2014
0.9687799739534454,0.744810378441243,0.023263629127616207,0.2551896215587571,339.1666666666667,14625.0,5406.166666666667,9558.0,0.8607733333333333,0.06995921345088628,Jun,2014
0.9745848736836504,0.7926196922917211,0.020772998183703126,0.20738030770827892,82.5,3790.75,843.0,3030.25,0.8859225,0.05327580837803716,Jul,2014
0.976987818367999,0.6653079804954966,0.015075014503314789,0.33469201950450334,107.0,7169.333333333333,2435.3333333333335,4841.0,0.8251166666666667,0.06983157385213848,Aug,2014
0.9760649165328945,0.7130553237661538,0.017348026579679588,0.2869446762338462,100.33333333333333,5441.0,1588.0,3953.3333333333335,0.8478533333333335,0.030837329110457452,Sep,2014
0.9390335361341152,0.6981612376356772,0.027959062729414945,0.3018387623643228,328.14285714285717,12223.57142857143,7760.142857142857,4791.571428571428,0.8351028571428571,0.14453244338374752,Oct,2014
0.8579979772994215,0.38039102651638923,0.027172319873758986,0.6196089734836108,1233.1666666666667,44292.0,31288.5,14236.666666666666,0.67661,0.20801182706759727,Nov,2014
0.8517290427430345,0.5662815294087892,0.12320927044765852,0.4337184705912109,1031.6666666666667,6609.5,3507.8333333333335,4133.333333333333,0.7215366666666666,0.13647399850032485,Dec,2014
