corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
7539,10826,321,2966,0.547940144097543,0.059301681138001106,2447,5092,0.45205985590245706,0.8840317919075145,0.69638,02,2014,0
8786,9324,237,301,0.06456456456456457,0.05083655083655084,4361,4425,0.9354354354354354,0.948455850369726,0.9423,02,2014,1
2331,2600,72,197,0.15153846153846154,0.055384615384615386,1103,1228,0.8484615384615385,0.9387234042553192,0.89654,02,2014,2
10233,11862,256,1373,0.23149553195076716,0.04316304164559096,4558,5675,0.7685044680492329,0.9468217698379726,0.86267,02,2014,3
10939,14010,354,2717,0.38786581013561744,0.050535331905781584,4288,6651,0.6121341898643826,0.9237397673416631,0.7808,02,2014,4
7539,10826,321,2966,0.547940144097543,0.059301681138001106,2447,5092,0.45205985590245706,0.8840317919075145,0.69638,02,2014,5
5523,5954,158,273,0.09170305676855896,0.053073563990594555,2704,2819,0.9082969432314411,0.9447938504542278,0.92761,02,2014,6
