corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
11037,11736,273,426,0.07259713701431493,0.04652351738241309,5442,5595,0.9274028629856851,0.9522309711286089,0.94044,07,2014,0
5686,6176,82,408,0.13212435233160622,0.02655440414507772,2680,3006,0.8678756476683938,0.9703113685734974,0.92066,07,2014,1
9435,10290,71,784,0.1523809523809524,0.013799805636540331,4361,5074,0.8476190476190476,0.9839801444043321,0.91691,07,2014,2
15997,18974,190,2787,0.29377042268367237,0.020027405923895857,6700,9297,0.7062295773163276,0.9724238026124818,0.8431,07,2014,3
9831,11626,137,1658,0.2852227765353518,0.0235678651298813,4155,5676,0.7147772234646482,0.9680801491146319,0.8456,07,2014,4
20382,22322,285,1655,0.14828420392437955,0.025535346295134844,9506,10876,0.8517157960756204,0.9708916351751609,0.91309,07,2014,5
7441,7622,99,82,0.021516662293361324,0.025977433744424034,3729,3712,0.9784833377066386,0.9741379310344828,0.97625,07,2014,6
