corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
166640,170960,3199,1121,0.01311417875526439,0.03742395882077679,84359,82281,0.9868858212447356,0.9634642180040659,0.97473,11,2014,0
10507,12056,157,1392,0.2309223623092236,0.026045122760451227,4636,5871,0.7690776376907764,0.9672438973503025,0.87152,11,2014,1
138038,141650,2054,1558,0.021997882103776914,0.029001058948111544,69267,68771,0.978002117896223,0.9712006281459878,0.9745,11,2014,2
59381,109956,2694,47881,0.8709120011641021,0.04900141874931791,7097,52284,0.129087998835898,0.7248493514452048,0.54004,11,2014,3
138038,141650,2054,1558,0.021997882103776914,0.029001058948111544,69267,68771,0.978002117896223,0.9712006281459878,0.9745,11,2014,4
47116,49694,976,1602,0.06447458445687608,0.03928039602366483,23245,23871,0.935525415543124,0.959704388753561,0.94812,11,2014,5
23582,27012,544,2886,0.2136828076410484,0.04027839478750185,10620,12962,0.7863171923589516,0.9512719455392332,0.87302,11,2014,6
