corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
7699,8954,222,1033,0.23073486709850347,0.049586776859504134,3444,4255,0.7692651329014966,0.939443535188216,0.85984,01,2014,0
11026,13430,276,2128,0.31690245718540583,0.041102010424422936,4587,6439,0.6830975428145942,0.9432449105490438,0.821,01,2014,1
5316,5566,144,106,0.038088393819619114,0.05174272367948257,2677,2639,0.9619116061803809,0.9489542715349167,0.95508,01,2014,2
61845,77064,2248,12971,0.33662929513131945,0.05834111906986401,25561,36284,0.6633707048686805,0.9191628609442986,0.80251,01,2014,3
4542,5450,118,790,0.28990825688073396,0.04330275229357798,1935,2607,0.710091743119266,0.9425231368728689,0.83339,01,2014,4
11157,11476,261,58,0.010108051585918439,0.04548623213663297,5680,5477,0.9898919484140816,0.956068002019862,0.9722,01,2014,5
4540,4720,123,57,0.024152542372881357,0.05211864406779661,2303,2237,0.9758474576271187,0.9492992580379225,0.96186,01,2014,6
