corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
24250,30300,198,5852,0.38627062706270626,0.013069306930693069,9298,14952,0.6137293729372937,0.9791491154170177,0.80033,09,2014,0
7894,10046,80,2072,0.41250248855265775,0.015926737009755127,2951,4943,0.5874975114473422,0.9736060706037611,0.78579,09,2014,1
3231,4102,44,827,0.40321794246708925,0.02145294978059483,1224,2007,0.5967820575329108,0.9652996845425867,0.78766,09,2014,2
10541,12286,125,1620,0.2637147973302946,0.02034836399153508,4523,6018,0.7362852026697053,0.9731067125645438,0.85797,09,2014,3
10541,12286,125,1620,0.2637147973302946,0.02034836399153508,4523,6018,0.7362852026697053,0.9731067125645438,0.85797,09,2014,4
10504,11764,91,1169,0.19874192451547093,0.015470928255695342,4713,5791,0.8012580754845291,0.9810574521232306,0.89289,09,2014,5
5661,6448,63,724,0.22456575682382135,0.019540942928039703,2500,3161,0.7754342431761787,0.9754194303550526,0.87795,09,2014,6
