corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
5951,6110,51,108,0.0353518821603928,0.01669394435351882,2947,3004,0.9646481178396072,0.9829886591060707,0.97398,08,2014,0
10209,13086,108,2769,0.42320036680421824,0.016506189821182942,3774,6435,0.5767996331957818,0.9721792890262752,0.78015,08,2014,1
10280,11648,110,1258,0.21600274725274726,0.018887362637362636,4566,5714,0.7839972527472527,0.976475620188195,0.88255,08,2014,2
6755,9172,67,2350,0.5124291321412996,0.014609681639773223,2236,4519,0.4875708678587004,0.9709075119409466,0.73648,08,2014,3
5951,6110,51,108,0.0353518821603928,0.01669394435351882,2947,3004,0.9646481178396072,0.9829886591060707,0.97398,08,2014,4
9302,10168,112,754,0.14830841856805665,0.022029897718332022,4330,4972,0.8516915814319433,0.9747861323728051,0.91483,08,2014,5
5538,6608,70,1000,0.3026634382566586,0.0211864406779661,2304,3234,0.6973365617433414,0.970513900589722,0.83808,08,2014,6
