fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
182,12,3422,3238,0.0034944670937682005,0.05321637426900585,54,0.00781702374059062,Jun,2014,0
1469,30,26852,26521,0.0011159883937207054,0.05248302965344766,1982,0.03486122348471524,Jun,2014,1
963,19,11649,9900,0.0016283853273911552,0.08864954432477216,2065,0.08395674093348512,Jun,2014,2
181,61,4666,4021,0.012904590649460547,0.04307472632079962,727,0.07528997514498757,Jun,2014,3
152,12,3392,2861,0.0035252643948296123,0.05044805841354132,491,0.07107701215981471,Jun,2014,4
2360,9,28169,28602,0.00031939811200227126,0.07622246624895032,13234,0.18285572166800232,Jun,2014,5
152,12,3391,2861,0.003526300323244196,0.05044805841354132,492,0.07122177185871453,Jun,2014,6
