fp,fn,tp,tn,fpr,fnr,recall,precision,accuracy,month,year,day
321,1165,5136,5980,0.18489128709728614,0.05094429455641961,0.8151087129027138,0.9411764705882353,0.8821,12,2014,0
1389,27929,7543,34083,0.7873534055029319,0.039157645466847094,0.2126465944970681,0.8444917151813703,0.5867,12,2014,1
6404,697,7706,1999,0.0829465667023682,0.7621087706771391,0.9170534332976318,0.5461374911410347,0.5775,12,2014,2
321,1165,5136,5980,0.18489128709728614,0.05094429455641961,0.8151087129027138,0.9411764705882353,0.8821,12,2014,3
400,3072,5089,7761,0.3764244577870359,0.049013601274353634,0.6235755422129641,0.9271269812351977,0.7873,12,2014,4
2175,4057,47068,48950,0.07935452322738386,0.04254278728606357,0.9206454767726161,0.9558312856649676,0.9391,12,2014,5
356,1637,6638,7919,0.1978247734138973,0.04302114803625378,0.8021752265861027,0.9490992279096369,0.8796,12,2014,6
