fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
95,14,4109,5146,0.003395585738539898,0.01812631177256249,2372,0.20211315610088615,Jul,2014,0
35,8,1786,2686,0.004459308807134894,0.012862918044836457,1661,0.2689443005181347,Jul,2014,1
26,41,2287,4606,0.01761168384879725,0.005613126079447323,3330,0.3236151603498542,Jul,2014,2
94,10,4677,8067,0.002133560913164071,0.011518196299473104,6126,0.3228628649731211,Jul,2014,3
46,34,2164,5057,0.015468607825295723,0.009014305310601607,4325,0.37201100980560814,Jul,2014,4
91,26,7807,9657,0.00331929018256096,0.009335248256052524,4741,0.2123913627811128,Jul,2014,5
35,5,3034,3325,0.0016452780519907865,0.010416666666666666,1223,0.1604565730779323,Jul,2014,6
