fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
38,53,1378,2774,0.037037037037037035,0.013513513513513514,2073,0.32821405953134897,Mar,2014,0
34,4,1786,2229,0.0022346368715083797,0.015024304021210782,1063,0.20777951524628616,Mar,2014,1
12,2,807,920,0.002472187886279357,0.012875536480686695,371,0.17566287878787878,Mar,2014,2
35,15,1428,2686,0.010395010395010396,0.012862918044836457,1852,0.3078457446808511,Mar,2014,3
49,23,2465,3224,0.009244372990353697,0.014970974641002138,1629,0.22043301759133965,Mar,2014,4
49,7,2227,2964,0.003133393017009848,0.016262860935944243,1597,0.23334307422559908,Mar,2014,5
30,8,939,1588,0.008447729672650475,0.018541409147095178,1081,0.29648930334613277,Mar,2014,6
