corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
6449,6908,114,345,0.09988419224088015,0.033005211349160395,3109,3340,0.9001158077591198,0.9646292274278623,0.93356,06,2014,0
32012,56854,624,24218,0.8519365392056847,0.02195096211348366,4209,27803,0.14806346079431526,0.8708876474239603,0.56306,06,2014,1
17676,24596,300,6620,0.5382989103919337,0.02439421044072207,5678,11998,0.46170108960806633,0.9498159919705588,0.71865,06,2014,2
9282,9656,114,260,0.053852526926263466,0.023612261806130904,4568,4714,0.9461474730737366,0.9756514310123878,0.96127,06,2014,3
6449,6908,114,345,0.09988419224088015,0.033005211349160395,3109,3340,0.9001158077591198,0.9646292274278623,0.93356,06,2014,4
43450,72374,895,28029,0.7745599248348854,0.02473263879293669,8158,35292,0.22544007516511455,0.9011377443941235,0.60035,06,2014,5
6449,6908,114,345,0.09988419224088015,0.033005211349160395,3109,3340,0.9001158077591198,0.9646292274278623,0.93356,06,2014,6
