corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
16031,18480,151,2298,0.2487012987012987,0.01634199134199134,6942,9089,0.7512987012987012,0.978711405611166,0.86748,04,2014,0
9909,11526,140,1477,0.25629012667013706,0.024292903001908728,4286,5623,0.7437098733298629,0.9683687302304564,0.85971,04,2014,1
10826,12004,119,1059,0.17644118627124292,0.0198267244251916,4943,5883,0.823558813728757,0.9764915053338601,0.90187,04,2014,2
13809,17304,164,3331,0.38499768839574666,0.018955154877484975,5321,8488,0.6150023116042533,0.9701002734731085,0.79802,04,2014,3
13809,17304,164,3331,0.38499768839574666,0.018955154877484975,5321,8488,0.6150023116042533,0.9701002734731085,0.79802,04,2014,4
13809,17304,164,3331,0.38499768839574666,0.018955154877484975,5321,8488,0.6150023116042533,0.9701002734731085,0.79802,04,2014,5
6897,7580,87,596,0.15725593667546175,0.02295514511873351,3194,3703,0.8427440633245382,0.973483693995733,0.90989,04,2014,6
