corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
11029,11736,274,433,0.07379004771642808,0.04669393319700068,5435,5594,0.926209952283572,0.9520056051847959,0.93976,07,2014,0
5801,6176,85,290,0.0939119170984456,0.027525906735751296,2798,3003,0.9060880829015544,0.9705168227540756,0.93928,07,2014,1
9126,10290,79,1085,0.2108843537414966,0.015354713313896987,4060,5066,0.7891156462585034,0.9809132640734477,0.88688,07,2014,2
14772,18974,200,4002,0.42184041319700644,0.021081479919890376,5485,9287,0.5781595868029936,0.9648197009674582,0.77854,07,2014,3
9856,11626,142,1628,0.2800619301565457,0.024428006193015654,4185,5671,0.7199380698434543,0.9671828056390108,0.84776,07,2014,4
20334,22322,346,1642,0.1471194337424962,0.031000806379356687,9519,10815,0.8528805662575039,0.9649265078560567,0.91094,07,2014,5
7401,7622,109,112,0.029388611912883757,0.028601416950931515,3699,3702,0.9706113880871162,0.9713760504201681,0.971,07,2014,6
