corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
6506,6908,104,298,0.08627678054429647,0.030110017371163866,3156,3350,0.9137232194557036,0.9680981595092024,0.94181,06,2014,0
39916,56854,969,15969,0.5617546698561227,0.034087311358919334,12458,27458,0.4382453301438773,0.9278319803381246,0.70208,06,2014,1
18014,24596,567,6015,0.48910391933647746,0.04610505773296471,6283,11731,0.5108960806635225,0.9172262773722628,0.7324,06,2014,2
8958,9656,149,549,0.11371168185584093,0.030861640430820216,4279,4679,0.8862883181441591,0.9663504968383018,0.92771,06,2014,3
6506,6908,104,298,0.08627678054429647,0.030110017371163866,3156,3350,0.9137232194557036,0.9680981595092024,0.94181,06,2014,4
54366,72374,1789,16219,0.4481996297012739,0.04943764335258518,19968,34398,0.5518003702987261,0.9177735901089304,0.75118,06,2014,5
6506,6908,104,298,0.08627678054429647,0.030110017371163866,3156,3350,0.9137232194557036,0.9680981595092024,0.94181,06,2014,6
