corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
7982,8954,245,727,0.16238552602188966,0.05472414563323654,3750,4232,0.8376144739781104,0.9386733416770964,0.89145,01,2014,0
10797,13430,274,2359,0.3513030528667163,0.04080416976917349,4356,6441,0.6486969471332837,0.9408207343412527,0.80395,01,2014,1
5255,5566,166,145,0.05210204814947898,0.05964786201940352,2638,2617,0.9478979518505211,0.9407988587731811,0.94413,01,2014,2
60308,77064,2384,14372,0.3729886847295754,0.061870652963770374,24160,36148,0.6270113152704245,0.9101868595539482,0.78257,01,2014,3
4527,5450,129,794,0.2913761467889908,0.047339449541284405,1931,2596,0.7086238532110092,0.9373786407766991,0.83064,01,2014,4
11104,11476,267,105,0.018299058905542,0.046531892645521086,5633,5471,0.981700941094458,0.9547457627118644,0.96758,01,2014,5
4480,4720,130,110,0.046610169491525424,0.05508474576271186,2250,2230,0.9533898305084746,0.9453781512605042,0.94915,01,2014,6
