precision,recall,fpr,fnr,fp,tn,fn,tp,mean_accuracy,mean_std,month,test_year
0.9508155481479407,0.7410186868170795,0.035882790722051194,0.2589813131829205,0.035882790722051194,8780.217391304348,2949.608695652174,6181.565217391304,0.8525678260869565,0.0780087618596621,Jan,2014
0.9532606761241567,0.7166166538053985,0.03373265676409308,0.28338334619460165,0.03373265676409308,4956.0952380952385,1424.2857142857142,3699.714285714286,0.8414428571428572,0.07686574485054166,Feb,2014
0.955283712667722,0.6653697583977065,0.03049246107160384,0.33463024160229343,0.03049246107160384,3964.904761904762,1378.4761904761904,2707.0476190476193,0.8174380952380951,0.06275628841949209,Mar,2014
0.9647349836676108,0.5941474051424487,0.020308549807512077,0.4058525948575514,0.020308549807512077,4889.619047619048,2159.4761904761904,2827.4285714285716,0.7869200000000001,0.07955742969704337,Apr,2014
0.9514089527188209,0.5641677741580148,0.019934551754820624,0.4358322258419853,0.019934551754820624,7082.380952380952,4151.523809523809,3067.8571428571427,0.7721166666666667,0.1254433813054054,May,2014
0.9548219216172801,0.6148101173164826,0.02619153787233499,0.3851898826835175,0.02619153787233499,12912.380952380952,6716.571428571428,6558.857142857143,0.7943095238095237,0.09037039246767664,Jun,2014
0.9637579001528089,0.6007013605212443,0.021208037519310795,0.39929863947875566,0.021208037519310795,5149.0,2215.7619047619046,3044.714285714286,0.7897466666666666,0.08146842997955302,Jul,2014
0.9659661644235873,0.6287811463774221,0.021207216390223604,0.3712188536225779,0.021207216390223604,6074.142857142857,2361.3809523809523,3841.6190476190477,0.8037871428571428,0.07557181075922802,Aug,2014
0.9662720461856134,0.6319123872490405,0.02082680655390768,0.3680876127509596,0.02082680655390768,5617.952380952381,2228.3809523809523,3508.5238095238096,0.8055414285714286,0.07564879571319785,Sep,2014
0.9275055228308504,0.5720204612679,0.025211358745425932,0.4279795387321001,0.025211358745425932,15808.047619047618,11915.285714285714,4294.190476190476,0.7734042857142859,0.1252909482592988,Oct,2014
0.8420131802629618,0.3135476798562535,0.02508123883269771,0.6864523201437462,0.02508123883269771,33443.90476190476,28298.14285714286,6031.285714285715,0.6442342857142859,0.14003236060180618,Nov,2014
0.8866123637043459,0.42690810064179596,0.04986855684793193,0.5730918993582043,0.04986855684793193,15520.761904761905,10176.904761904761,6009.857142857143,0.6885199999999999,0.10871494708640574,Dec,2014
