precision,recall,fpr,fnr,fp,tn,fn,tp,mean_accuracy,mean_std,month,test_year
0.8909022685251174,0.8503343119226766,0.10182080521762896,0.1496656880773235,0.10182080521762896,9231.32,1663.28,8617.52,0.8742567999999997,0.06725980986195744,Jan,2016
0.894454326922578,0.9040162476997725,0.10683155927509731,0.09598375230022739,0.10683155927509731,7440.652173913043,803.0434782608696,7524.130434782609,0.8985926086956522,0.03500773540719138,Feb,2016
0.9230591826250643,0.9114479599846618,0.07503415382389234,0.08855204001533816,0.07503415382389234,5808.304347826087,639.2173913043479,5650.695652173913,0.9182069565217393,0.04928803380821599,Mar,2016
0.9204001544497753,0.8948619130769364,0.07664447730357278,0.10513808692306355,0.07664447730357278,7352.217391304348,754.3478260869565,7188.565217391304,0.9091082608695653,0.04399789175240249,Apr,2016
0.911384617511835,0.913722351016585,0.08847921612066126,0.08627764898341482,0.08847921612066126,7820.695652173913,746.7826086956521,7803.782608695652,0.9126217391304345,0.04064925825692204,May,2016
0.8889972988383519,0.8441377979636735,0.1036776361150245,0.15586220203632628,0.1036776361150245,7457.217391304348,1227.0869565217392,7005.0,0.870229565217391,0.07205091031399324,Jun,2016
0.8825976289383773,0.920631328669269,0.12356544483814523,0.07936867133073087,0.12356544483814523,9101.217391304348,831.5217391304348,9415.217391304348,0.8985326086956521,0.03317429552823188,Jul,2016
0.8902690729894481,0.9424475103907263,0.11618450873180286,0.057552489609273595,0.11618450873180286,6340.173913043478,389.17391304347825,6735.869565217391,0.9131304347826088,0.025384043212269614,Aug,2016
0.8641252054777333,0.9406286671487609,0.1488189735223133,0.059371332851238974,0.1488189735223133,4860.782608695652,288.5652173913044,5392.0,0.8959052173913044,0.05417179330355716,Sep,2016
0.7722463703662955,0.9524865819843369,0.33002504438633085,0.04751341801566329,0.33002504438633085,8451.826086956522,286.8695652173913,10615.478260869566,0.8112313043478261,0.15299295528357887,Oct,2016
0.7175306651174135,0.9424180749429495,0.4326131371448369,0.05758192505705033,0.4326131371448369,5202.608695652174,322.2173913043478,7930.391304347826,0.754901739130435,0.159698430363214,Nov,2016
0.7871816674452105,0.9574217860159003,0.2589670678835473,0.0425782139840996,0.2589670678835473,3781.391304347826,241.2608695652174,4868.95652173913,0.8492269565217391,0.027244589193383083,Dec,2016
