corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
7575,7838,156,107,0.027302883388619546,0.03980607297780046,3812,3763,0.9726971166113805,0.9606854838709677,0.96645,05,2014,0
5666,6520,112,742,0.22760736196319017,0.0343558282208589,2518,3148,0.7723926380368098,0.9574144486692016,0.86902,05,2014,1
10777,11054,254,23,0.0041613895422471505,0.04595621494481636,5504,5273,0.9958386104577529,0.955887460923932,0.97494,05,2014,2
30582,32824,623,1619,0.09864733122105776,0.03796002924689252,14793,15789,0.9013526687789423,0.959587441619097,0.9317,05,2014,3
9139,9770,181,450,0.09211873080859775,0.03705220061412487,4435,4704,0.9078812691914022,0.96078856152513,0.93541,05,2014,4
5666,6520,112,742,0.22760736196319017,0.0343558282208589,2518,3148,0.7723926380368098,0.9574144486692016,0.86902,05,2014,5
7509,7730,200,21,0.0054333764553686935,0.0517464424320828,3844,3665,0.9945666235446313,0.950544015825915,0.97141,05,2014,6
