corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
8270,8554,192,92,0.021510404489127895,0.04489127893383212,4185,4085,0.9784895955108721,0.9561343385880741,0.9668,10,2014,0
7582,8718,186,950,0.21793989447120898,0.042670337233310394,3409,4173,0.782060105528791,0.9482614742698192,0.86969,10,2014,1
98376,178204,3179,76649,0.8602388274112814,0.03567821148795762,12453,85923,0.13976117258871854,0.7966351074718526,0.55204,10,2014,2
11208,11474,239,27,0.0047062924873627334,0.04165940386961827,5710,5498,0.9952937075126372,0.9598251807026391,0.97682,10,2014,3
15637,16002,352,13,0.0016247969003874516,0.043994500687414076,7988,7649,0.9983752030996126,0.9577937649880096,0.97719,10,2014,4
9305,9556,203,48,0.010046044370029301,0.04248639598158225,4730,4575,0.9899539556299707,0.9588485708493817,0.97373,10,2014,5
7582,8718,186,950,0.21793989447120898,0.042670337233310394,3409,4173,0.782060105528791,0.9482614742698192,0.86969,10,2014,6
