fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
65,8,3888,1980,0.002053388090349076,0.03178484107579462,12539,0.678517316017316,Apr,2014,0
61,14,3372,5027,0.004134672179562906,0.011988993710691825,3052,0.26479264272080516,Apr,2014,1
45,10,4591,5280,0.0021734405564007822,0.008450704225352112,2078,0.17310896367877374,Apr,2014,2
92,3,3503,9,0.0008556759840273817,0.9108910891089109,13697,0.7915510864539991,Apr,2014,3
97,13,3751,1747,0.0034537725823591925,0.05260303687635575,11696,0.675913083680074,Apr,2014,4
105,3,4412,0,0.0006795016987542468,1.0,12784,0.7387887193712437,Apr,2014,5
47,13,2778,2469,0.004657828735220351,0.018680445151033388,2273,0.29986807387862796,Apr,2014,6
