corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
6582,6908,155,171,0.04950781702374059,0.04487550665894615,3283,3299,0.9504921829762594,0.9549156486329261,0.95281,06,2014,0
37183,56854,1307,18364,0.6460055580961762,0.04597741583705632,10063,27120,0.35399444190382384,0.8850483729111698,0.65401,06,2014,1
21192,24596,663,2741,0.2228817693933973,0.05391120507399577,9557,11635,0.7771182306066027,0.9351272015655577,0.8616,06,2014,2
9416,9656,169,71,0.014705882352941176,0.03500414250207125,4757,4659,0.9852941176470589,0.965692245229395,0.97514,06,2014,3
6582,6908,155,171,0.04950781702374059,0.04487550665894615,3283,3299,0.9504921829762594,0.9549156486329261,0.95281,06,2014,4
46699,72374,1420,24255,0.6702683284052284,0.03924061126924033,11932,34767,0.3297316715947716,0.8936488915518275,0.64525,06,2014,5
6582,6908,155,171,0.04950781702374059,0.04487550665894615,3283,3299,0.9504921829762594,0.9549156486329261,0.95281,06,2014,6
