corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
7605,7838,167,66,0.016841030875223272,0.04261291145700434,3853,3752,0.9831589691247767,0.958457711442786,0.97027,05,2014,0
5643,6520,129,748,0.2294478527607362,0.039570552147239264,2512,3131,0.7705521472392638,0.9511548655812192,0.86549,05,2014,1
10759,11054,262,33,0.0059706893432241726,0.04740365478559797,5494,5265,0.9940293106567758,0.9544822793606671,0.97331,05,2014,2
30451,32824,686,1687,0.10279064099439435,0.04179868388983671,14725,15726,0.8972093590056056,0.955486340925313,0.92771,05,2014,3
9582,9770,180,8,0.0016376663254861821,0.0368474923234391,4877,4705,0.9983623336745138,0.9644057741744118,0.98076,05,2014,4
5643,6520,129,748,0.2294478527607362,0.039570552147239264,2512,3131,0.7705521472392638,0.9511548655812192,0.86549,05,2014,5
7498,7730,208,24,0.006209573091849935,0.053816300129366106,3841,3657,0.9937904269081501,0.9486292911830082,0.96999,05,2014,6
