corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
92128,170960,3831,75001,0.8774099204492279,0.0448175011698643,10479,81649,0.12259007955077211,0.7322851153039832,0.53889,11,2014,0
11803,12056,194,59,0.009787657597876576,0.032183145321831454,5969,5834,0.9902123424021234,0.9685218237871167,0.97901,11,2014,1
138711,141650,2701,238,0.0033603953406283094,0.03813625132368514,70587,68124,0.9966396046593717,0.9631453989739112,0.97925,11,2014,2
106575,109956,3201,180,0.0032740368874822658,0.05822328931572629,54798,51777,0.9967259631125177,0.9448093932654011,0.96925,11,2014,3
138711,141650,2701,238,0.0033603953406283094,0.03813625132368514,70587,68124,0.9966396046593717,0.9631453989739112,0.97925,11,2014,4
48276,49694,1205,213,0.008572463476476033,0.048496800418561595,24634,23642,0.991427536523524,0.953365068307597,0.97147,11,2014,5
26314,27012,637,61,0.0045165111802162,0.047164223308159337,13445,12869,0.9954834888197838,0.9547649481607726,0.97416,11,2014,6
