corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
5986,6110,79,45,0.014729950900163666,0.02585924713584288,3010,2976,0.9852700490998363,0.9744253803820007,0.97971,08,2014,0
12606,13086,186,294,0.04493351673544246,0.028427326914259515,6249,6357,0.9550664832645576,0.9710955710955711,0.96332,08,2014,1
11412,11648,187,49,0.008413461538461538,0.03210851648351648,5775,5637,0.9915865384615384,0.9686346863468634,0.97974,08,2014,2
8866,9172,108,198,0.043174880069777585,0.023549934583515047,4388,4478,0.9568251199302225,0.9759786476868327,0.96664,08,2014,3
5986,6110,79,45,0.014729950900163666,0.02585924713584288,3010,2976,0.9852700490998363,0.9744253803820007,0.97971,08,2014,4
9931,10168,188,49,0.00963808025177026,0.03697875688434304,5035,4896,0.9903619197482297,0.9640053609036952,0.97669,08,2014,5
6459,6608,118,31,0.009382566585956417,0.03571428571428571,3273,3186,0.9906174334140436,0.9652020053081687,0.97745,08,2014,6
