reject_rate,error_rate,lim_attack,lim_normal,dominated
0.137154902760778,0.056470528610669,0.56,1.0,False
0.137140331448777,0.056474762216063,0.54,1.0,False
0.137106331720775,0.056482743224832,0.52,1.0,False
0.137086903304774,0.056492181949153,0.5,1.0,False
0.078947368421053,0.093937183577729,0.56,0.98,False
0.078932797109052,0.093940446908698,0.54,0.98,False
0.07889879738105,0.09394611426436,0.52,0.98,False
0.078879368965048,0.093954359122304,0.5,0.98,False
0.078447086709021,0.094213693759687,0.56,0.96,False
0.07843251539702,0.094216950086112,0.54,0.96,False
0.078398515669018,0.094222600947673,0.52,0.96,False
0.078379087253016,0.094230836769688,0.5,0.96,False
0.074381690660761,0.09566867987693,0.56,0.94,False
0.07436711934876,0.095671884782936,0.54,0.94,False
0.074333119620757,0.095677419427709,0.52,0.94,False
0.074313691204756,0.095685579184936,0.5,0.94,False
0.073886266052729,0.096087588536193,0.56,0.92,False
0.073871694740728,0.096090785690749,0.54,0.92,False
0.073837695012726,0.096096301178776,0.52,0.92,False
0.073818266596724,0.09610445274397,0.5,0.92,False
0.069782013172466,0.097578951152836,0.56,0.9,False
0.069767441860465,0.097582096982113,0.54,0.9,False
0.069733442132463,0.097587496294743,0.52,0.9,False
0.069714013716462,0.097595572282871,0.5,0.9,False
0.065906044180218,0.100563437832419,0.56,0.88,False
0.065891472868217,0.10056652648003,0.54,0.88,False
0.065857473140215,0.100571785830305,0.52,0.88,False
0.065838044724214,0.100579798676353,0.5,0.88,False
0.057236113539663,0.105023893900076,0.56,0.86,False
0.057221542227662,0.105026870855123,0.54,0.86,False
0.05718754249966,0.105031868765626,0.52,0.86,False
0.057168114083659,0.105039734383573,0.5,0.86,False
0.053564142915428,0.107664786616978,0.56,0.84,False
0.053549571603427,0.107667713734281,0.54,0.84,False
0.053515571875425,0.107672590300517,0.52,0.84,False
0.053496143459424,0.107680399599822,0.5,0.84,False
0.041265955586641,0.109919614782881,0.56,0.82,False
0.04125138427464,0.109922410891902,0.54,0.82,False
0.041217384546638,0.109927005189474,0.52,0.82,False
0.041197956130637,0.109934593038415,0.5,0.82,False
0.040969672242622,0.110154570972913,0.56,0.8,False
0.040955100930621,0.110157363109516,0.54,0.8,False
0.040921101202619,0.110161947591258,0.52,0.8,False
0.040901672786618,0.110169531238782,0.5,0.8,False
0.040862815954615,0.110225357986161,0.56,0.78,False
0.040848244642614,0.11022814875908,0.54,0.78,False
0.040814244914612,0.110232729946492,0.52,0.78,False
0.040794816498611,0.110240312001094,0.5,0.78,False
0.040794816498611,0.110279865142926,0.56,0.76,False
0.04078024518661,0.11028265500321,0.54,0.76,False
0.040746245458608,0.110287233932089,0.52,0.76,False
0.040726817042607,0.110294815028275,0.5,0.76,False
0.040702531522605,0.110307689447338,0.52,0.74,False
0.040683103106604,0.110315269843358,0.5,0.74,False
0.028574342833829,0.119694909101794,0.56,0.72,False
0.028559771521828,0.119697543935509,0.54,0.72,False
0.028525771793826,0.119701740238443,0.52,0.72,False
0.028506343377824,0.119709156480652,0.5,0.72,False
0.024907229313594,0.122318050518692,0.56,0.7,False
0.024892658001593,0.122320642228619,0.54,0.7,False
0.024858658273591,0.122324732849703,0.52,0.7,False
0.02483922985759,0.12233210172717,0.5,0.7,False
0.024829515649589,0.122344490734809,0.56,0.68,False
0.024814944337588,0.12234708162975,0.54,0.68,False
0.024780944609586,0.122351170418696,0.52,0.68,False
0.024761516193585,0.122358538070863,0.5,0.68,False
0.024742087777584,0.122370526737899,0.52,0.66,False
0.024722659361582,0.122377893827658,0.5,0.66,False
0.00406053894426,0.13447554636347,0.56,0.64,False
0.004045967632259,0.134477917303252,0.54,0.64,False
0.004011967904257,0.134481480400909,0.52,0.64,False
0.003992539488256,0.134488579777989,0.5,0.64,False
0.003992539488256,0.134495656862458,0.54,0.62,False
0.003958539760253,0.134499218805079,0.52,0.62,False
0.003939111344252,0.134506317398498,0.5,0.62,False
0.003934254240252,0.134517768759422,0.52,0.6,False
0.003914825824251,0.134524867105361,0.5,0.6,False
0.003914825824251,0.134524917133051,0.52,0.58,False
0.003895397408249,0.134532015201321,0.5,0.58,False
0.003895397408249,0.134539755210355,0.52,0.56,False
0.003875968992248,0.134546853080703,0.5,0.56,False
0.003866254784247,0.134558165628814,0.52,0.54,False
0.003846826368246,0.13456526316247,0.5,0.54,False
0.003841969264246,0.134569021252856,0.52,0.52,False
0.003822540848245,0.134576118459448,0.5,0.52,False
0.003822540848245,0.134576167622029,0.52,0.5,False
0.003803112432243,0.134583264551035,0.5,0.5,False
