reject_rate,error_rate,lim_attack,lim_normal,dominated
0.2188440950150552,0.0430041991937123,0.94,1.0,False
0.2174919147987063,0.0430077734118929,0.92,1.0,False
0.2073296531727445,0.0431540749686374,0.78,1.0,False
0.2063352663469759,0.0432206028753283,0.76,1.0,False
0.2054198728671796,0.0432994177736248,0.74,1.0,False
0.202715512434482,0.0434387373832005,0.72,1.0,False
0.2018837589680681,0.0434460289322054,0.7,1.0,False
0.2011309988476264,0.0434541543092012,0.68,1.0,False
0.186108323110665,0.045100772499074,0.66,1.0,False
0.1843286494925839,0.0453197780568812,0.64,1.0,False
0.1832088026467417,0.0454653145536004,0.62,1.0,False
0.1788920486227277,0.0459500699302274,0.6,1.0,False
0.1777443217724248,0.046061271104529,0.58,1.0,False
0.1517880376194193,0.0466840238544443,0.56,1.0,False
0.151532470911862,0.0467167425128259,0.54,1.0,False
0.1399018623842979,0.0467916536026122,0.52,1.0,False
0.1367746552172781,0.0494603625448162,0.5,1.0,False
0.1032628898553957,0.0496707321071801,0.52,0.98,False
0.1012927028734991,0.0500519326975442,0.52,0.96,False
0.1001356826883759,0.0521525511268455,0.5,0.98,False
0.0981654957064793,0.0525250874227387,0.5,0.96,False
0.0912559012676108,0.0563622201014205,0.52,0.94,False
0.0840860934537749,0.0579588534717183,0.52,0.92,False
0.0832311066503104,0.058681017624581,0.52,0.9,False
0.0809588862867551,0.0603727770815343,0.5,0.92,False
0.0801038994832905,0.0610931425913758,0.5,0.9,False
0.0647977770343109,0.0722214537032074,0.52,0.88,False
0.0643888703022192,0.0725157775788028,0.52,0.86,False
0.0623861566484517,0.0738075570763323,0.52,0.84,False
0.0615358165123973,0.0743192245868537,0.52,0.82,False
0.0612616631351994,0.0748846552548798,0.5,0.86,False
0.0592589494814319,0.0761715540525967,0.5,0.84,False
0.0584086093453775,0.0766810370831606,0.5,0.82,False
0.0463876807553622,0.0855842067082323,0.52,0.8,False
0.0462622207352886,0.0856603640262772,0.52,0.78,False
0.0440318203784245,0.0874878458877832,0.52,0.76,False
0.0432604735883424,0.0879166783517107,0.5,0.8,False
0.0431350135682688,0.0879925444627869,0.5,0.78,False
0.041610906657745,0.0894075385197212,0.52,0.74,False
0.0409046132114047,0.0898166846593174,0.5,0.76,False
0.0384836994907252,0.0917326175479383,0.5,0.74,False
0.0346223188729043,0.093976700528089,0.52,0.72,False
0.0342784654845544,0.0942276462501401,0.52,0.7,False
0.0314951117058845,0.0962876881709406,0.5,0.72,False
0.0311512583175346,0.0965380626008752,0.5,0.7,False
0.0252685773763057,0.1017980367163315,0.52,0.68,False
0.0221413702092859,0.1040983483274678,0.5,0.68,False
0.0219601501802906,0.1041865477094971,0.52,0.66,False
0.0171183227389316,0.1047491942003358,0.52,0.64,False
0.0160914092412921,0.105429989971805,0.52,0.62,False
0.0142280956098286,0.1065266477701231,0.52,0.6,False
0.0139911155719118,0.1070251976631267,0.5,0.64,False
0.0129642020742723,0.1077042759630718,0.5,0.62,False
0.0115841418534626,0.108293695223468,0.52,0.58,False
0.0111845284561912,0.108557914356766,0.52,0.56,False
0.0111008884428088,0.1087972705977279,0.5,0.6,False
0.0102087283000631,0.109131124974848,0.52,0.54,False
0.0096278948737965,0.1095646062400406,0.52,0.52,False
0.0084569346864428,0.1105600990568384,0.5,0.58,False
0.0080573212891714,0.110823677627772,0.5,0.56,False
0.0070815211330433,0.1113950246648647,0.5,0.54,False
0.0065006877067766,0.1118278002209899,0.5,0.52,False
0.0042052340061707,0.1133501699540748,0.52,0.5,False
0.0010780268391509,0.1156059213664078,0.5,0.5,False
