fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
167,19,5026,5202,0.0037661050545094153,0.031104488731607375,1322,0.11264485344239945,Jul,2014,0
60,12,2262,2746,0.005277044854881266,0.021382751247327157,1096,0.17746113989637305,Jul,2014,1
54,63,3433,4686,0.018020594965675058,0.01139240506329114,2054,0.19961127308066084,Jul,2014,2
146,42,5101,8295,0.00816643982111608,0.017296528847292974,5390,0.28407294192052285,Jul,2014,3
105,154,3276,5158,0.044897959183673466,0.01995059851795554,2933,0.25227937381730603,Jul,2014,4
242,33,9016,9889,0.003646811802409106,0.023887079261672096,3142,0.14075799659528715,Jul,2014,5
67,7,3190,3407,0.002189552705661558,0.019286125503742084,951,0.1247704014694306,Jul,2014,6
