fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
113,103,3370,3717,0.029657356752087534,0.029503916449086162,535,0.06825720847154887,May,2014,0
91,823,2304,3088,0.2631915574032619,0.028625353884869455,214,0.03282208588957055,May,2014,1
172,88,5250,5223,0.016485575121768452,0.03188137164040779,321,0.029039261805681203,May,2014,2
389,1662,14015,15715,0.10601518147604772,0.024155489319423747,1043,0.03177553009992688,May,2014,3
106,69,4321,4725,0.01571753986332574,0.02194162699234113,549,0.05619242579324463,May,2014,4
58,854,2284,3155,0.27214786488209053,0.01805166511048864,169,0.025920245398773006,May,2014,5
124,85,3666,3692,0.022660623833644363,0.03249475890985325,163,0.021086675291073737,May,2014,6
