corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year,day
27653,30300,380,2267,0.14963696369636964,0.025082508250825083,12883,14770,0.8503630363036304,0.971348865264269,0.91264,09,2014,0
9796,10046,145,105,0.020903842325303602,0.028867210830181168,4918,4878,0.9790961576746964,0.9713608532490619,0.97511,09,2014,1
3948,4102,82,72,0.035104826913700635,0.039980497318381276,1979,1969,0.9648951730862994,0.9602134885977681,0.96246,09,2014,2
11913,12286,199,174,0.02832492267621683,0.03239459547452385,5969,5944,0.9716750773237832,0.9677367055771725,0.96964,09,2014,3
11913,12286,199,174,0.02832492267621683,0.03239459547452385,5969,5944,0.9716750773237832,0.9677367055771725,0.96964,09,2014,4
11454,11764,199,111,0.018871132267936075,0.033832029921795306,5771,5683,0.9811288677320639,0.9666666666666667,0.97365,09,2014,5
6136,6448,109,203,0.0629652605459057,0.03380893300248139,3021,3115,0.9370347394540943,0.9651757188498402,0.95161,09,2014,6
